JobTitle,Company,Location,PostDate,ExtractDate,Summary,Salary
newData Science Trainer,GREAT LAKES E-LEARNING SERVICES PRIVATE LIMITED,"Remote in Bengaluru, Karnataka",Posted1 day ago,2022-02-06,"Monitor participants’ academic performance and undertake learning interventions in the form of remedial sessions, coaching, and mentoring.","₹5,50,000 - ₹12,00,000 a year"
Senior Data Scientist,Indeed,"Hyderabad, Telangana",Posted30+ days ago,2022-02-06,Proactively research data and identify opportunities in the data to drive the product roadmap.,"₹40,00,000 - ₹60,00,000 a year"
Big Data Engineer (Python),StartUs Insights,Remote,Posted30+ days ago,2022-02-06,3+ years work experience with big data/data engineering/DAG stateful-stream-processing / data pipelines.,"₹5,49,354 - ₹18,28,920 a year"
newMachine Learning Engineer,Appsly Infotech,"Surat, Gujarat",Posted1 day ago,2022-02-06,Past Experience of 2-3 years as a Machine learning engineer.,
Audit Data Scientist,Colgate-Palmolive,"Mumbai, Maharashtra",Posted12 days ago,2022-02-06,Develop custom data models and algorithms to apply to data sets.,
newData Scientist,ICS Group,"Bengaluru, Karnataka",Posted3 days ago,2022-02-06,You should have a passion for applying rigorous statistical solutions to challenging business problems and strong business.,"₹5,33,037 - ₹15,93,399 a year"
newData Scientist I,Honeywell,"Bengaluru, Karnataka+1 location",Posted1 day ago,2022-02-06,View all Honeywell jobs - Bengaluru jobs,
newData Scientist,Jacobs,"Navi Mumbai, Maharashtra",Posted1 day ago,2022-02-06,"Ability to apply the scientific method to create data experiments, train novel data models and deliver prescriptive and predictive data models.",
Data Scientist,Maersk,"Mumbai, Maharashtra",Posted8 days ago,2022-02-06,"Methodological approach during data analysis, data collection.",
Data Scientist,Clariant,"Airoli, Navi Mumbai, Maharashtra",Posted30+ days ago,2022-02-06,"View all Clariant jobs - Airoli, Navi Mumbai, Maharashtra jobs",
Data Scientist 4,Oracle,India+2 locations,Posted23 days ago,2022-02-06,Interacts with product and service teams to identify questions and issues for data analysis and experiments.,
newData Scientist,Siemens Technology and Services Private Limited,"Pune, Maharashtra+1 location",Posted6 days ago,2022-02-06,Perform strategic data analysis and research within SAP & other data structures to support business processes and strategy and discuss results with team leads…,
newData science,V Digitech Sevices jobs,"Mumbai, Maharashtra",Posted3 days ago,2022-02-06,Graduate In any field( Bcom / BA / Bsc / MBA / Diploma / Engineer).,"₹35,000 - ₹45,000 a month"
newData Science Intern,Vedaasthra AI Technologies jobs,"Hyderabad, Telangana",Posted1 day ago,2022-02-06,"Job Types: Full-time, Regular / Permanent, Internship.","₹12,000 - ₹20,000 a month"
newData Scientist/R/Python,CGI Inc,"Bengaluru, Karnataka",Posted1 day ago,2022-02-06,Analyse data from multiple sources including IOT and MES systems.,
Data Scientist,Lincode Labs jobs,"Bengaluru, Karnataka",Posted13 days ago,2022-02-06,The purpose of hiring this person is for his Robust experience in the area of Software Development in Computer Vision using a blend of traditional Image…,"₹30,000 - ₹1,00,000 a month"
newData Scientist,+1 location,"Remote in Bengaluru, Karnataka+1 location",Posted3 days ago,2022-02-06,Experience as data scientist in insurance industry is preferrable.,"₹4,50,000 a year"
newData Scientist,Altimetrik India Pvt Ltd,"Remote in Bengaluru, Karnataka",Posted8 days ago,2022-02-06,Natural curiosity and desire to learn the data and passion for solving real word problems.,"₹4,73,066 - ₹20,00,000 a year"
Data Scientist,Clariant,"Airoli, Navi Mumbai, Maharashtra",Posted30+ days ago,2022-02-06,"View all Clariant jobs - Airoli, Navi Mumbai, Maharashtra jobs",
newData Scientist,AIM Future Consulting jobs,"Gurgaon, Haryana",Posted6 days ago,2022-02-06,6 months – 2 years’ experience in analytics / data science.,"₹6,00,000 - ₹12,00,000 a year"
Data Scientist 4,Oracle,India+2 locations,Posted23 days ago,2022-02-06,Interacts with product and service teams to identify questions and issues for data analysis and experiments.,
"newPrin, Data Scientist",BNY Mellon,"Pune, Maharashtra",Posted4 days ago,2022-02-06,Develop organizational leadership in techniques and methods to support data decisioning.,
newData Scientist,Coinbase jobs,Remote,Posted2 days ago,2022-02-06,"Identify data, metrics and analyses needs for business partners; Initiate, develop and maintain data pipelines and data models that powers dashboards and data…",
newData Scientist,Barclays,"Chennai, Tamil Nadu",Posted3 days ago,2022-02-06,The role will be using cutting edge data science techniques to extract information from people data.,
newData Scientist,Siemens Technology and Services Private Limited,"Pune, Maharashtra+1 location",Posted6 days ago,2022-02-06,Perform strategic data analysis and research within SAP & other data structures to support business processes and strategy and discuss results with team leads…,
Junior Data Scientist,Kwalee jobs,"Bengaluru, Karnataka",Posted26 days ago,2022-02-06,Experience using Python for data analysis and visualisation.,
newData Scientist,Expleo,"Pune, Maharashtra",Posted3 days ago,2022-02-06,"Data Storytelling: Summarizes data analysis findings and guides readers through a compelling, data-driven story.",
newData science,Conquest Tech Solutions Inc jobs,Remote,Posted3 days ago,2022-02-06,"Therefore a more customer-focused data scientist instead of R&D focus, as.","₹4,21,542 - ₹16,35,977 a year"
Data Scientist,Deloitte,"Bengaluru, Karnataka",Posted30+ days ago,2022-02-06,Present information using data visualization techniques.,
newData Scientist,Visa,"Bengaluru, Karnataka",PostedJust posted,2022-02-06,"Ability to build data pipelines (e.g. ETL, data preparation, data aggregation and analysis) using PySpark.",
newData Scientist - I,Netomi jobs,"Remote in Gurgaon, Haryana",Posted1 day ago,2022-02-06,"Deep knowledge and experience in Information Extraction ( structured and unstructured data), Knowledge Information Retrieval and Knowledge Representation.",
Manager - Data Scientist,Henkel,"Navi Mumbai, Maharashtra",Posted26 days ago,2022-02-06,Assess existing data and analytics capabilities in the region and provide proposals for improving regional data and analytics capabilities.,
newData Scientist,Expleo,"Pune, Maharashtra",Posted3 days ago,2022-02-06,"Data Storytelling: Summarizes data analysis findings and guides readers through a compelling, data-driven story.",
newData Scientist,GE Aviation,"Bengaluru, Karnataka",PostedToday,2022-02-06,"Work with data engineers on data quality assessment, data cleansing and data analytics.",
newData Scientist,Coinbase jobs,Remote,Posted2 days ago,2022-02-06,"Identify data, metrics and analyses needs for business partners; Initiate, develop and maintain data pipelines and data models that powers dashboards and data…",
newData Science ( 2 - 8 Yrs) - Remote,ProGrad jobs,Remote,Posted4 days ago,2022-02-06,Experience in Java/.NET/Bigdata/Python.,"₹8,00,000 - ₹20,00,000 a year"
Data Scientist,Neal Analytics jobs,"Pune, Maharashtra",Posted30+ days ago,2022-02-06,Collaborate with the data engineering team to provide data requirements and set the timetable for the integration of data sources.,
newData Scientist,Brillio,"Bengaluru, Karnataka",Posted1 day ago,2022-02-06,Key Responsibilities Partner with clients to learn their business and build valuable analytics solutions Strong understanding of business use cases Craft and…,
newData Scientist - RI,EY,"Gurgaon, Haryana",Posted5 days ago,2022-02-06,"Experience with data wrangling, cleansing, and data engineering for data science applications.",
Data Scientist,Tech mahindra,"Pune, Maharashtra",Posted26 days ago,2022-02-06,Data Scientists with the capability to perform independent statistical and machine learning research/ projects.,
newData Scientist,Ecolab,"Bengaluru, Karnataka+1 location",Posted4 days ago,2022-02-06,Solving data-intensive problems using industry standard data analytics frameworks and tools.,
newData Scientist,Aliqan Technologies jobs,"Remote in Bengaluru, Karnataka",PostedToday,2022-02-06,Dig deeper into domain guided by data.,"₹20,00,000 - ₹25,00,000 a year"
Data Scientist,Qualys,"Remote in Pune, Maharashtra",Posted18 days ago,2022-02-06,"Understand data networking in office, industrial, home and IoT domains, identify data dimensions that can be exploited, build tools collect and normalise the…",
Data Scientist,Mobiquity,"Pune, Maharashtra+2 locations",Posted30 days ago,2022-02-06,Assess quality of data and remove or clean data.,
Data Scientist,CityLink Technology Solutions jobs,"Pune, Maharashtra",Posted30+ days ago,2022-02-06,"Analyze data for trends and patterns, and Interpret data with a clear objective in mind.",
newData Scientist – Manufacturing Systems and Industry 4.0,Philips,"Pune, Maharashtra",Posted4 days ago,2022-02-06,Able to translate operational issues into tangible solutions by using data modeling and analytical techniques using available data and present and discuss these…,
Data Scientist,Qualys,"Remote in Pune, Maharashtra",Posted18 days ago,2022-02-06,"Understand data networking in office, industrial, home and IoT domains, identify data dimensions that can be exploited, build tools collect and normalise the…",
newSenior Data & Applied Scientist,Microsoft,"Bengaluru, Karnataka+1 location",Posted3 days ago,2022-02-06,"Good organizational, analytical, data science skills and intuition.",
newData Scientist / ML Engineer,IceCream Labs jobs,"Remote in Bengaluru, Karnataka",Posted6 days ago,2022-02-06,Experience working with real world problems and data is required.,
Data Scientist,"Retail Solutions, Inc. jobs","Temporarily Remote in Pune, Maharashtra",Posted17 days ago,2022-02-06,Having data visualization and presentation skills.,
Data Scientist,Travelopia jobs,"Bengaluru, Karnataka",EmployerActive 15 days ago,2022-02-06,Extending company’s data with third party sources of information when needed.,
Data Scientist,GSN Solutions LLC (Pyx Tech Pvt Ltd) jobs,"Remote in Pune, Maharashtra",EmployerActive 1 day ago,2022-02-06,"Establish best practices for collecting data using analysis tools, and interpreting data.","₹10,00,000 - ₹25,00,000 a year"
newData Scientist,Brillio,"Bengaluru, Karnataka",Posted1 day ago,2022-02-06,Key Responsibilities Partner with clients to learn their business and build valuable analytics solutions Strong understanding of business use cases Craft and…,
newLead Data Scientist - Computer Vision,Michelin,"Pune, Maharashtra",Posted4 days ago,2022-02-06,"Transform images using opencv library, develop scripts to process annotation data/files.",
Data Scientist,Vonage jobs,"Bengaluru, Karnataka",Posted11 days ago,2022-02-06,Work on data science projects as well as support data analysis;,
Data Science Intern,+1 location,"Calicut, Kerala+1 location",Posted10 days ago,2022-02-06,"Urgent requirement for Data Science, Python, PHP, UI-UX, Manual Testing and Digital marketing interns for client projects.","₹10,000 - ₹15,000 a month"
ASSOCIATE DATA SCIENTIST,HGS,"Bengaluru, Karnataka",Posted10 days ago,2022-02-06,Experience with industry scale data mining and/or text mining.,
newData Scientist,MediBuddy jobs,"Bengaluru, Karnataka",Posted4 days ago,2022-02-06,"You will design and develop machine learning models that help extract structured data from consultations in multiple Indian languages, along with models for…",
Data Scientist,HP,"Bengaluru, Karnataka",Posted9 days ago,2022-02-06,"Key metrics include, Forecast Accuracy and bias.",
Data Scientist Trainee,Incedo,"Gurgaon, Haryana",Posted30+ days ago,2022-02-06,"As a data scientist, candidate is expected to understand a business problem, formulate possible approaches and use required analytical techniques or/and develop…",
Data Scientist,HP,"Bengaluru, Karnataka",Posted9 days ago,2022-02-06,"Key metrics include, Forecast Accuracy and bias.",
Data Scientist Trainee,Incedo,"Gurgaon, Haryana",Posted30+ days ago,2022-02-06,"As a data scientist, candidate is expected to understand a business problem, formulate possible approaches and use required analytical techniques or/and develop…",
"newData Scientist- Machine Learning Engineer, ENO- AVP",Credit Suisse,"Pune, Maharashtra",Posted5 days ago,2022-02-06,Deliver machine learning and data science projects with data science techniques and associated libraries such as AI/ ML or equivalent NLP (Natural Language…,
Data Scientist Analytics,WOIR Software India Pvt. Ltd. jobs,"Hyderabad, Telangana",Posted9 days ago,2022-02-06,Extending company’s data with third party sources of information when needed.,"₹8,00,000 a year"
"newScientist, Data Science",XPO Logistics,"Hyderabad, Telangana",PostedToday,2022-02-06,Help support data consumers to ensure they have reliable access to trusted data.,
Data Scientist - NLP Knowledge Graphs,Almug Technologies Pvt Ltd jobs,"Temporarily Remote in Bengaluru, Karnataka",Posted9 days ago,2022-02-06,You hold an MS or a PhD in computer science specialized in an area of AI/ML.,"₹10,00,000 a year"
Python Data Science Internship,MaxgenKharadi jobs,"Pune, Maharashtra",Posted9 days ago,2022-02-06,Candidate Can Join for Long time Short time Program.,
